"label","last_mesure","sang_ok"
"8184184","09/05/2019","non"
"8184190","17/06/2020","oui"
"8184195","06/05/2022","non"
"8184196","09/05/2025","oui"
"8184198","06/05/2022","non"
"8184200","25/06/2020","oui"
"8184201","03/07/2018","oui"
"8184265","16/05/2019","oui"
"8184274","07/06/2021","oui"
"8184281","03/05/2020","oui"
"8184282","01/07/2024","non"
"8184285","12/05/2019","oui"
"8184289","05/05/2023","non"
"8184291","06/05/2025","non"
"8184300","12/05/2020","oui"
"8184401","27/04/2017","oui"
"8184402","27/04/2017","oui"
"8184403","19/05/2022","oui"
"8184404","15/05/2019","oui"
"8184405","03/05/2017","oui"
"8184406","03/05/2017","oui"
"8184407","04/05/2017","oui"
"8184408","04/05/2017","oui"
"8184409","04/05/2017","oui"
"8184410","07/05/2017","oui"
"8184426","14/05/2021","oui"
"8184427","10/05/2017","oui"
"8184428","10/05/2017","non"
"8184429","12/05/2017","oui"
"8184430","03/05/2019","oui"
"8184431","15/05/2017","oui"
"8184432","17/05/2017","oui"
"8184433","17/05/2018","oui"
"8184434","31/05/2018","oui"
"8184435","26/05/2017","oui"
"8184436","01/06/2017","oui"
"8184437","01/06/2017","oui"
"8184439","14/05/2018","non"
"8184447","07/06/2017","oui"
"8184448","07/06/2017","oui"
"8184449","26/06/2019","oui"
"8184458","14/06/2017","oui"
"8184459","06/07/2018","non"
"8184460","14/06/2017","oui"
"8184461","19/06/2017","oui"
"8184462","11/05/2018","oui"
"8184463","11/05/2018","oui"
"8184464","26/06/2017","oui"
"8184467","14/05/2018","oui"
"8184468","06/05/2022","oui"
"8184469","14/05/2021","non"
"8184470","20/05/2018","oui"
"8184471","14/06/2019","oui"
"8184472","25/06/2020","oui"
"8184473","11/05/2021","oui"
"8184474","13/05/2019","non"
"8184475","18/05/2021","oui"
"8184476","12/05/2021","oui"
"8184482","13/05/2022","non"
"8184498","10/05/2019","oui"
"8185001","20/06/2019","oui"
"8185002","13/05/2022","oui"
"8185003","07/05/2018","oui"
"8185004","30/04/2019","oui"
"8185005","18/06/2019","oui"
"8185006","07/05/2018","oui"
"8185007","07/05/2018","oui"
"8185008","09/05/2018","oui"
"8185009","04/07/2019","oui"
"8185025","15/05/2018","oui"
"8185026","15/05/2018","oui"
"8185027","02/05/2020","non"
"8185028","27/06/2019","oui"
"8185029","17/06/2019","oui"
"8185030","17/05/2018","oui"
"8185040","18/05/2025","oui"
"8185043","09/06/2020","oui"
"8185044","29/06/2018","non"
"8185045","28/04/2021","oui"
"8185052","01/05/2020","oui"
"8185054","15/05/2023","oui"
"8185055","03/05/2019","oui"
"8185056","18/05/2023","oui"
"8185062","03/05/2019","oui"
"8185063","03/05/2019","oui"
"8185064","03/05/2019","oui"
"8185065","03/05/2019","oui"
"8185076","06/05/2019","oui"
"8185077","03/05/2022","oui"
"8185078","25/04/2020","oui"
"8185079","22/06/2020","oui"
"8185080","22/06/2020","oui"
"8185089","01/05/2021","non"
"8185090","09/05/2019","oui"
"8185091","23/04/2020","oui"
"8185092","15/05/2020","oui"
"8185093","10/05/2019","oui"
"8185094","12/05/2019","oui"
"8185095","30/06/2020","non"
"8185096","12/05/2019","oui"
"8185097","07/05/2020","oui"
"8185098","07/05/2020","oui"
"8185099","07/05/2020","oui"
"8185100","08/05/2020","oui"
"8185135","12/05/2020","oui"
"8185168","08/06/2022","oui"
"8185193","10/05/2019","oui"
"8185195","14/06/2021","oui"
"8185198","22/06/2020","oui"
"8185213","22/06/2020","non"
"8185214","08/05/2020","oui"
"8185217","10/05/2019","oui"
"8185228","08/06/2022","oui"
"8185232","10/05/2019","oui"
"8185235","04/05/2024","oui"
"8185239","06/05/2020","oui"
"8185245","18/05/2019","non"
"8185261","16/05/2019","oui"
"8185268","03/05/2019","non"
"8185270","10/05/2020","oui"
"8185273","10/05/2024","oui"
"8185274","11/05/2019","oui"
"8185278","19/05/2023","non"
"8185279","10/05/2019","oui"
"8185281","12/03/2024","oui"
"8185297","14/05/2021","oui"
"8185306","14/06/2019","oui"
"8185315","12/05/2020","oui"
"8185321","20/05/2020","oui"
"8185396","15/05/2019","oui"
"8185401","07/06/2019","oui"
"8185419","16/05/2018","non"
"8185420","16/05/2018","oui"
"8185427","17/05/2019","oui"
"8185428","18/05/2018","oui"
"8185429","10/07/2018","oui"
"8185430","18/05/2018","non"
"8185431","08/05/2020","oui"
"8185432","21/05/2018","oui"
"8185433","21/05/2018","non"
"8185434","22/05/2018","non"
"8185435","22/05/2018","non"
"8185436","21/06/2022","oui"
"8185437","03/07/2018","oui"
"8185438","23/05/2018","non"
"8185439","06/07/2018","oui"
"8185440","05/07/2018","oui"
"8185444","06/05/2019","oui"
"8185447","18/06/2019","oui"
"8185450","13/05/2019","oui"
"8185454","25/05/2018","non"
"8185455","25/05/2018","non"
"8185456","25/05/2018","oui"
"8185460","17/06/2019","oui"
"8185461","26/05/2018","oui"
"8185462","26/05/2018","oui"
"8185463","18/05/2021","oui"
"8185464","26/05/2018","oui"
"8185465","15/05/2019","oui"
"8185466","26/05/2018","oui"
"8185467","26/05/2018","oui"
"8185468","26/05/2018","oui"
"8185469","30/05/2018","oui"
"8185475","30/05/2018","oui"
"8185476","30/05/2018","non"
"8185480","13/06/2019","oui"
"8185495","25/06/2018","non"
"8185496","13/05/2019","non"
"8185497","24/04/2019","oui"
"8185556","03/06/2020","oui"
"8185559","19/04/2020","oui"
"8185569","09/06/2020","oui"
"8185572","10/05/2019","oui"
"8185576","06/05/2019","oui"
"8185589","07/05/2020","oui"
"8185592","10/05/2019","oui"
"8185599","05/07/2022","oui"
"8185617","27/05/2024","non"
"8185622","14/05/2020","oui"
"8185626","29/06/2019","oui"
"8185627","09/05/2021","oui"
"8185628","07/05/2021","oui"
"8185647","05/05/2025","oui"
"8185651","25/06/2020","oui"
"8185652","30/04/2020","oui"
"8185656","02/07/2024","oui"
"8185657","31/05/2021","oui"
"8185658","01/03/2024","non"
"8185659","13/06/2022","oui"
"8185668","03/05/2020","oui"
"8185669","21/06/2020","oui"
"8185670","04/05/2020","oui"
"8185672","13/05/2022","oui"
"8185676","05/05/2020","oui"
"8185679","30/04/2021","oui"
"8185682","06/05/2020","oui"
"8185683","09/05/2023","oui"
"8185684","06/05/2021","oui"
"8185692","06/05/2021","oui"
"8185694","24/06/2021","oui"
"8185712","13/05/2021","non"
"8185716","10/05/2022","non"
"8185722","23/06/2021","non"
"8185724","14/06/2020","oui"
"8185725","30/04/2020","oui"
"8185730","17/05/2021","oui"
"8185734","09/05/2020","non"
"8185770","10/06/2019","oui"
"8185772","15/05/2020","oui"
"8185779","15/05/2019","oui"
"8185782","15/05/2019","oui"
"8185802","27/04/2020","oui"
"8185823","08/05/2020","oui"
"8185824","23/05/2020","non"
"8185825","08/06/2018","oui"
"8185826","12/06/2018","non"
"8185828","17/06/2019","oui"
"8185836","30/04/2020","non"
"8185837","22/06/2018","non"
"8185862","06/07/2018","oui"
"8185868","10/07/2018","non"
"8185876","09/05/2021","non"
"8185877","13/05/2021","non"
"8185878","22/06/2021","oui"
"8185879","11/05/2019","oui"
"8185880","07/05/2021","oui"
"8185881","01/05/2020","oui"
"8185882","11/05/2019","oui"
"8185883","20/06/2019","non"
"8185884","13/05/2019","non"
"8185885","13/05/2019","oui"
"8185893","18/05/2023","oui"
"8185899","04/05/2020","oui"
"8185900","16/05/2019","oui"
"8185960","05/05/2023","non"
