"label","last_mesure","sang_ok"
"10173228","21/05/2025","non"
"10173229","21/05/2025","non"
"10173230","21/05/2025","non"
"10173231","21/05/2025","non"
"10173232","21/05/2025","non"
"10173233","21/05/2025","non"
"10173234","21/05/2025","non"
"10173235","21/05/2025","non"
"10173236","21/05/2025","non"
"10173237","21/05/2025","non"
"10173238","21/05/2025","non"
"10173239","23/05/2025","non"
"10173240","23/05/2025","non"
"10173241","23/05/2025","non"
"10173242","23/05/2025","non"
"10173243","23/05/2025","non"
"10173244","23/05/2025","non"
"10173245","23/05/2025","non"
"10173253","30/05/2025","non"
"10173254","30/05/2025","non"
"10173255","30/05/2025","non"
"10173256","30/05/2025","non"
"10173257","30/05/2025","non"
"10173258","30/05/2025","non"
"10173259","30/05/2025","non"
"10173260","30/05/2025","non"
"10173261","30/05/2025","non"
"10173269","28/05/2025","non"
"10173270","28/05/2025","non"
"10173271","28/05/2025","non"
"10173272","05/06/2025","non"
"10173273","05/06/2025","non"
"10173274","05/06/2025","non"
"10173275","05/06/2025","non"
"10173276","05/06/2025","non"
"10173277","05/06/2025","non"
"10173278","05/06/2025","non"
"10173279","29/05/2025","non"
"10173280","29/05/2025","non"
"10173281","29/05/2025","non"
"10173282","29/05/2025","non"
"10173283","29/05/2025","non"
"10173284","29/05/2025","non"
"10173285","29/05/2025","non"
"10173286","29/05/2025","non"
"10173287","29/05/2025","non"
"10173288","29/05/2025","non"
"10173289","29/05/2025","non"
"10173290","29/05/2025","non"
"10173291","30/05/2025","non"
"10173292","30/05/2025","non"
"10173293","30/05/2025","non"
"10173294","30/05/2025","non"
"10173295","30/05/2025","non"
"10173296","30/05/2025","non"
"10173297","30/05/2025","non"
"10173298","03/06/2025","non"
"10173299","04/06/2025","non"
"10173300","04/06/2025","non"
"10173301","26/05/2025","non"
"10173302","26/05/2025","non"
"10173303","26/05/2025","non"
"10173304","26/05/2025","non"
"10173305","26/05/2025","non"
"10173306","26/05/2025","non"
"10173307","26/05/2025","non"
"10173308","26/05/2025","non"
"10173309","27/05/2025","non"
"10173310","27/05/2025","non"
"10173311","27/05/2025","non"
"10173312","27/05/2025","non"
"10173313","27/05/2025","non"
"10173314","21/05/2025","non"
"10173315","21/05/2025","non"
"10173316","21/05/2025","non"
"10173317","21/05/2025","non"
"10173318","21/05/2025","non"
"10173319","21/05/2025","non"
"10173320","21/05/2025","non"
"10173321","23/05/2025","non"
"10173322","24/05/2025","non"
"10173323","24/05/2025","non"
"10173324","24/05/2025","non"
"10173325","24/05/2025","non"
"10173326","24/05/2025","non"
"10173327","25/05/2025","oui"
"10173328","25/05/2025","oui"
"10173329","25/05/2025","non"
"10173330","26/05/2025","oui"
"10173331","26/05/2025","non"
"10173332","26/05/2025","non"
"10173333","26/05/2025","non"
"10173334","26/05/2025","non"
"10173335","26/05/2025","non"
"10173336","26/05/2025","oui"
"10173337","27/05/2025","non"
"10173338","27/05/2025","non"
"10173339","27/05/2025","non"
"10173340","27/05/2025","non"
"10173341","27/05/2025","non"
"10173342","27/05/2025","non"
"10173343","28/05/2025","oui"
"10173344","28/05/2025","non"
"10173345","28/05/2025","non"
"10173346","28/05/2025","non"
"10173347","28/05/2025","non"
"10173348","28/05/2025","non"
"10173349","28/05/2025","non"
"10173350","28/05/2025","non"
"10173351","30/05/2025","oui"
"10173352","31/05/2025","oui"
"10173353","31/05/2025","non"
"10173354","31/05/2025","non"
"10173355","31/05/2025","non"
"10173356","31/05/2025","non"
"10173357","31/05/2025","non"
"10173358","31/05/2025","non"
"10173359","31/05/2025","non"
"10173360","31/05/2025","non"
"10173361","31/05/2025","oui"
"10173362","31/05/2025","oui"
"10173363","01/06/2025","oui"
"10173364","01/06/2025","oui"
"10173365","03/06/2025","non"
"10173366","03/06/2025","non"
"10173367","03/06/2025","non"
"10173368","03/06/2025","non"
"10173369","03/06/2025","non"
"10173370","03/06/2025","non"
"10173371","03/06/2025","non"
"10173372","03/06/2025","non"
"10173373","04/06/2025","non"
"10173374","13/06/2025","non"
"10173375","04/06/2025","non"
"10173376","04/06/2025","non"
"10173377","13/06/2025","non"
"10173378","04/06/2025","non"
"10173379","04/06/2025","non"
"10173380","04/06/2025","non"
"10173381","04/06/2025","non"
"10173382","04/06/2025","non"
"10173383","04/06/2025","non"
"10173384","04/06/2025","non"
"10173385","04/06/2025","non"
"10173386","04/06/2025","non"
"10173387","04/06/2025","non"
"10173388","04/06/2025","non"
"10173389","05/06/2025","oui"
"10173390","05/06/2025","non"
"10173391","05/06/2025","non"
"10173392","05/06/2025","non"
"10173393","05/06/2025","non"
"10173394","31/05/2025","oui"
"10173395","05/06/2025","non"
"10173396","05/06/2025","non"
"10173397","05/06/2025","non"
"10173398","05/06/2025","non"
"10173399","05/06/2025","non"
"10173400","06/06/2025","oui"
"10173401","30/05/2025","non"
"10173402","30/05/2025","non"
"10173403","30/05/2025","non"
"10173404","30/05/2025","non"
"10173405","30/05/2025","non"
"10173406","30/05/2025","non"
"10173407","30/05/2025","non"
"10173408","05/06/2025","non"
"10173409","05/06/2025","non"
"10173410","05/06/2025","non"
"10173411","05/06/2025","non"
"10173412","05/06/2025","non"
"10173413","05/06/2025","non"
"10173414","05/06/2025","non"
"10173415","31/05/2025","non"
"10173416","31/05/2025","non"
"10173417","31/05/2025","non"
"10173418","31/05/2025","non"
"10173419","31/05/2025","non"
"10173420","31/05/2025","non"
"10173421","01/06/2025","non"
"10173422","01/06/2025","non"
"10173423","01/06/2025","non"
"10173424","01/06/2025","non"
"10173425","01/06/2025","non"
"10173426","01/06/2025","non"
"10173427","01/06/2025","non"
"10173428","01/06/2025","non"
"10173429","01/06/2025","non"
"10173430","01/06/2025","non"
"10173431","01/06/2025","non"
"10173433","09/06/2025","non"
"10173434","09/06/2025","non"
"10173435","09/06/2025","non"
"10173436","23/06/2025","non"
"10173437","09/06/2025","non"
"10173438","23/06/2025","non"
"10173439","23/06/2025","non"
"10173440","23/06/2025","non"
"10173441","23/06/2025","non"
"10173442","23/06/2025","non"
"10173701","05/06/2025","non"
"10173702","05/06/2025","non"
"10173703","05/06/2025","non"
"10173704","05/06/2025","non"
"10173705","05/06/2025","non"
"10173706","05/06/2025","non"
"10173707","05/06/2025","non"
"10173708","06/06/2025","non"
"10173709","06/06/2025","non"
"10173710","06/06/2025","non"
"10173711","06/06/2025","non"
"10173712","06/06/2025","non"
"10173713","06/06/2025","non"
"10173714","06/06/2025","non"
"10173715","06/06/2025","non"
"10173716","07/06/2025","oui"
"10173717","07/06/2025","oui"
"10173718","07/06/2025","oui"
"10173719","07/06/2025","non"
"10173720","07/06/2025","non"
"10173721","07/06/2025","non"
"10173722","07/06/2025","non"
"10173723","07/06/2025","non"
"10173724","07/06/2025","non"
"10173725","07/06/2025","non"
"10173726","07/06/2025","non"
